,stat_name,stat_id,lat,lon,route
0,Starnberg Nord,de:09188:5490,48.005609,11.347995,955
1,"Starnberg, Agentur für Arbeit",de:09188:5530,48.001798,11.341257,955
2,"Starnberg, Bozener Straße",de:09188:5559,48.007033,11.337988,955
3,"Starnberg, Klinikum-MediCenter",de:09188:5532,48.008968,11.335481,955
4,"Starnberg, Egerer Straße",de:09188:5534,48.011775,11.332831,955
5,"Starnberg, Taubenhüll",de:09188:5596,48.031669,11.32127,955
6,"Oberbrunn, Hochstadter Straße",de:09188:5589,48.049765,11.315332,955
7,"Hochstadt, Dorfstraße",de:09188:5591,48.056406,11.273587,955
8,"Hochstadt, Schule",de:09188:5592,48.055818,11.266625,955
9,"Hochstadt, Neuhochstadter Straße",de:09188:5572,48.060934,11.266877,955
10,"Hochstadt, Waldsiedlung",de:09188:5657,48.065904,11.264191,955
11,Oberpfaffenhofen,de:09188:5590,48.07453,11.262897,955
12,Weßling,de:09188:5380,48.076931,11.25042,955
13,Gilching-Argelsried,de:09188:5360,48.106746,11.300923,947
14,"Neugilching, Flurgrenzstraße",de:09188:5371,48.102379,11.295345,947
15,Neugilching,de:09188:5370,48.098084,11.288176,947
16,"Neugilching, Landsberger Straße",de:09188:5485,48.095756,11.285795,947
17,"Oberpfaffenhofen, Claude-Dornier-Str.",de:09188:5484,48.090242,11.282499,947
18,"Gilching, RUAG",de:09188:5456,48.092024,11.287026,947
19,"Gilch., Friedrichshafener Str.",de:09188:5457,48.091736,11.291985,947
21,"Oberpfaffenhofen, DLR",de:09188:5486,48.084667,11.275312,947
22,"Oberpfaffenhofen, Argelsrieder Str.",de:09188:5447,48.080514,11.266329,947
23,"Oberpfaffenhofen, Argelsrieder Feld",de:09188:5491,48.081763,11.274602,947
24,"Oberpfaffenhofen, Techno-Park",de:09188:5507,48.080532,11.269886,947
28,"Oberpfaffenhofen, Münchner Str.",de:09188:5785,48.082141,11.267137,X910
32,"Gauting, Sonderflughafen Ost",de:09188:5320,48.088832,11.297527,X910
33,"Gilching, Gewerbegebiet Süd",de:09188:5369,48.093338,11.313302,X910
34,"Gauting, Pentenrieder Straße",de:09188:6109,48.070149,11.358936,X910
35,Gauting,de:09188:5430,48.070059,11.376346,X910
36,"Gauting, Würmbrücke",de:09188:5610,48.066175,11.381466,X910
37,"Neuried, Forst Kasten",de:09184:2519,48.073204,11.414982,X910
38,"Neuried, Ortsmitte",de:09184:2534,48.09341,11.466492,X910
39,Klinikum Großhadern,de:09162:1540,48.109074,11.473391,X910
40,Herrsching,de:09188:5410,47.998354,11.170775,S8
